渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
A476,0.72,0.0,675.9999999999999,1.8378,256.22,66.0,22,jpg,横幅,cpc,308*388,满减
A477,48.73,16.0,115.99999999999999,1.8536,155.87,23.999999999999996,16,jpg,横幅,cpc,308*388,满减
A478,207.03,19.0,100.0,1.9715,153.84,23.999999999999996,4,jpg,横幅,cpc,308*388,满减
A479,1.1,0.0,179.0,1.7143,237.55,0.0,9,jpg,横幅,cpc,308*388,满减
A480,1.89,0.0,206.0,1.9845,199.78,25.0,4,jpg,横幅,cpc,308*388,满减
A481,1.94,0.0,0.0,1.3969,103.57,0.0,19,jpg,横幅,cpc,308*388,满减
A482,0.75,0.0,132.0,1.8158,69.0,0.0,22,jpg,横幅,cpc,308*388,满减
A483,35.67,19.0,67.0,2.181,240.52,27.0,1,jpg,横幅,cpc,308*388,满减
A484,170.53,5.999999999999999,35.0,1.4886,215.68,9.0,27,jpg,横幅,cpc,308*388,满减
A485,0.99,0.0,0.0,2.5882,207.3,72.0,29,jpg,横幅,cpc,308*388,满减
A486,39.95,59.0,168.0,3.3213,331.23,73.0,19,jpg,横幅,cpc,308*388,满减
A487,3.92,0.0,148.0,2.6576,257.91,97.0,13,jpg,横幅,cpc,308*388,满减
A488,178.82,0.0,18.0,1.3158,226.92,0.0,23,jpg,横幅,cpc,308*388,满减
A489,1.66,56.0,56.0,2.9333,406.77,57.0,20,jpg,横幅,cpc,308*388,满减
A490,0.72,0.0,0.0,1.0685,162.25,0.0,18,jpg,横幅,cpc,308*388,满减
A491,27.05,30.0,100.0,3.0344,303.63,47.99999999999999,11,jpg,横幅,cpc,308*388,满减
A492,883.28,0.0,17.0,1.3782,234.83,1.0,26,jpg,横幅,cpc,308*388,满减
A493,9.94,39.0,88.0,2.7251,276.92,34.0,4,jpg,横幅,cpc,308*388,满减
A494,60.51,38.0,81.0,2.0799,250.96,76.0,5,jpg,横幅,cpc,308*388,满减
A495,4.67,0.0,21.0,1.605,160.15,10.0,9,jpg,横幅,cpc,308*388,满减
A496,115.65,21.0,88.0,2.2557,161.46,22.0,10,jpg,横幅,cpc,308*388,满减
A497,3.66,26.0,53.0,2.2381,445.52,65.0,13,jpg,横幅,cpc,308*388,满减
A498,3.46,56.0,56.0,3.0084,299.03,62.0,25,jpg,横幅,cpc,308*388,满减
A499,0.79,0.0,125.0,2.5875,251.05,30.0,16,jpg,横幅,cpc,308*388,满减
A500,2.44,0.0,40.0,1.9798,331.64,20.0,15,jpg,横幅,cpc,308*388,满减
A501,12.96,15.0,30.0,1.9888,332.69,28.0,28,jpg,横幅,cpc,308*388,满减
A502,12.35,0.0,0.0,2.0088,101.04,2.0,11,jpg,横幅,cpc,308*388,满减
A503,0.71,0.0,0.0,1.2639,103.5,0.0,1,jpg,横幅,cpc,308*388,满减
A504,0.73,0.0,0.0,1.5205,198.87,0.0,6,jpg,横幅,cpc,308*388,满减
A505,0.99,0.0,0.0,1.991,601.89,23.999999999999996,22,jpg,横幅,cpc,308*388,满减
A553,18.65,16.0,57.99999999999999,1.3014,136.01,9.0,7,jpg,横幅,cpc,308*388,满赠
A554,0.67,0.0,282.0,2.5634,451.17,0.0,19,jpg,横幅,cpc,308*388,满赠
A555,2.21,0.0,90.00000000000001,1.6099,132.83,43.0,20,jpg,横幅,cpc,308*388,满赠
A556,1.27,0.0,75.0,1.694,290.44,0.0,24,jpg,横幅,cpc,308*388,满赠
A557,44.05,42.0,182.0,3.2005,297.96,23.0,9,jpg,横幅,cpc,308*388,满赠
A558,4.6,0.0,106.0,1.2399,274.75,0.0,9,jpg,横幅,cpc,308*388,满赠
A559,19.39,62.0,167.0,3.0434,320.77,28.999999999999996,8,jpg,横幅,cpc,308*388,满赠
A560,7.56,13.0,125.0,3.1388,324.83,28.0,21,jpg,横幅,cpc,308*388,满赠
A561,77.25,64.0,165.0,3.2928,291.31,38.0,25,jpg,横幅,cpc,308*388,满赠
A562,34.01,54.0,196.0,3.4732,349.33,36.0,13,jpg,横幅,cpc,308*388,满赠
A563,9.83,28.999999999999996,118.0,2.2784,320.62,19.0,1,jpg,横幅,cpc,308*388,满赠
A564,23.48,99.00000000000001,162.99999999999997,3.1674,305.89,55.0,14,jpg,横幅,cpc,308*388,满赠
A565,29.69,19.0,133.0,1.88,221.56,14.0,7,jpg,横幅,cpc,308*388,满赠
A566,30.2,97.0,184.0,2.7905,381.24,54.0,21,jpg,横幅,cpc,308*388,满赠
A567,2.9,0.0,126.0,2.8454,375.19,16.0,29,jpg,横幅,cpc,308*388,满赠
A568,0.61,0.0,704.0,2.8592,436.05,0.0,16,jpg,横幅,cpc,308*388,满赠
A844,1827.19,0.0,21.0,2.4351,94.47,1.0,10,jpg,横幅,cpc,308*388,秒杀
A845,1850.26,0.0,21.0,2.4714,92.25,1.0,26,jpg,横幅,cpc,308*388,秒杀
A846,25294.77,13.0,56.0,2.0443,291.37,19.0,1,jpg,横幅,cpc,308*388,秒杀
A847,4064.1,8.0,45.0,3.1884,156.86,13.0,28,jpg,横幅,cpc,308*388,秒杀
A848,1810.84,1.0,27.0,2.4701,104.47,2.9999999999999996,5,jpg,横幅,cpc,308*388,秒杀
A849,6822.28,4.0,67.0,2.7575,147.05,9.0,22,jpg,横幅,roi,308*388,秒杀
A850,12068.18,31.0,266.0,3.4892,273.5,47.0,10,jpg,横幅,cpc,308*388,秒杀
A851,8.52,0.0,0.0,2.2837,174.27,0.0,10,jpg,横幅,cpc,308*388,秒杀
A852,1.7,0.0,0.0,1.9708,108.1,0.0,26,jpg,横幅,cpc,308*388,秒杀
A853,16752.95,13.0,197.0,2.0797,327.89,20.0,1,jpg,横幅,cpc,308*388,秒杀
A854,5.07,0.0,0.0,1.5582,101.17,0.0,15,jpg,横幅,cpc,308*388,秒杀
A855,14.84,0.0,0.0,1.0721,185.03,0.0,12,jpg,横幅,cpc,308*388,秒杀
A856,4304.33,11.999999999999998,89.0,3.0204,132.64,19.0,30,jpg,横幅,cpc,308*388,秒杀
A857,5.08,0.0,0.0,1.6621,63.73,0.0,9,jpg,横幅,cpc,308*388,秒杀
A858,1.15,0.0,86.0,1.7759,77.45,0.0,25,jpg,横幅,cpc,308*388,秒杀
A859,0.53,278.0,0.0,9.9583,680.03,719.0,24,jpg,横幅,roi,308*388,秒杀
A860,0.65,0.0,3049.0,5.9268,438.96,183.0,29,jpg,横幅,roi,308*388,秒杀
A118,689.18,1.0,41.0,1.2746,347.71,2.0,11,swf,tips,cpm,450*300,打折
A119,711.71,2.0,11.999999999999998,1.2957,229.33,1.0,3,swf,tips,cpm,450*300,打折
A120,51.28,4.0,109.0,1.168,261.29,2.9999999999999996,14,swf,tips,cpm,450*300,打折
A121,837.77,0.0,13.0,1.1692,695.05,0.0,27,swf,tips,cpm,450*300,打折
A122,397.34,0.0,26.0,1.1392,687.09,0.0,13,swf,tips,cpm,450*300,打折
A123,838.98,0.0,1.0,1.0621,375.92,0.0,1,swf,tips,cpm,450*300,打折
A124,1027.8,14.0,83.0,2.005,420.23,27.0,1,swf,tips,cpm,450*300,打折
A125,776.93,32.0,56.0,1.5872,470.25,14.0,26,swf,tips,cpm,450*300,打折
A126,810.64,2.9999999999999996,42.0,1.4892,511.82,4.0,20,swf,tips,cpm,450*300,打折
A127,515.57,19.0,19.0,1.6943,293.64,13.0,10,swf,tips,cpm,450*300,打折
A128,481.45,0.0,2.9999999999999996,1.2045,521.41,1.0,9,swf,tips,cpm,450*300,打折
A129,378.75,0.0,19.0,1.2483,333.51,1.0,9,swf,tips,cpm,450*300,打折
A130,1061.24,1.0,9.0,1.1294,536.39,0.0,13,swf,tips,cpm,450*300,打折
A131,221.37,5.0,11.0,1.3376,247.39,5.0,2,swf,tips,cpm,450*300,打折
A132,699.72,1.0,39.0,1.2969,348.1,1.0,26,swf,tips,cpm,450*300,满减
A133,739.93,4.0,14.0,1.3032,236.05,1.0,23,swf,tips,cpm,450*300,满减
A134,56.04,0.0,69.99999999999999,1.1712,265.84,5.999999999999999,25,swf,tips,cpm,450*300,满减
A135,513.11,0.0,1.0,1.0495,400.81,0.0,13,swf,tips,cpm,450*300,满减
A136,607.28,1.0,21.0,1.234,640.29,2.0,1,swf,tips,cpm,450*300,满减
A169,6101.12,1.0,11.999999999999998,3.0462,79.12,1.0,17,swf,tips,cpm,450*300,满减
A170,2.66,0.0,0.0,1.0526,209.6,0.0,21,swf,tips,cpm,450*300,打折
A171,2.15,0.0,0.0,2.893,61.76,0.0,30,swf,tips,cpm,450*300,打折
A384,4782.88,0.0,17.0,1.4086,360.79,0.0,3,swf,tips,cpm,450*300,满减
A385,1553.42,0.0,2.9999999999999996,1.0074,517.0,0.0,4,swf,tips,cpm,450*300,满减
A386,9276.45,0.0,2.0,1.3062,573.57,0.0,26,swf,tips,cpm,450*300,满减
A49,2.8,0.0,0.0,1.1815,156.15,0.0,16,swf,tips,cpm,450*300,打折
A50,0.62,0.0,0.0,5.8497,731.24,307.0,22,swf,tips,cpm,450*300,打折
A51,0.75,118.0,0.0,2.3412,358.06,32.0,26,swf,tips,cpm,450*300,打折
A52,0.71,0.0,0.0,1.6316,595.08,0.0,9,swf,tips,cpm,450*300,打折
A53,0.69,0.0,106.0,1.7234,339.95,0.0,26,swf,tips,cpm,450*300,打折
A54,10.37,27.0,2581.0,2.0878,460.32,23.0,16,swf,tips,cpm,450*300,打折
A55,22.03,28.0,2730.0,1.9634,331.8,26.0,9,swf,tips,cpm,450*300,打折
A56,8.69,52.0,2721.0,2.2492,320.94,30.0,27,swf,tips,cpm,450*300,打折
A569,1696.8,5.999999999999999,25.0,1.4892,449.28,7.0,27,swf,tips,cpc,450*300,满赠
A57,1371.16,7.0,32.0,1.3058,196.46,5.0,15,swf,tips,cpm,450*300,打折
A58,8022.95,15.0,28.0,1.2836,222.02,5.999999999999999,13,swf,tips,cpm,450*300,打折
A671,2857.91,2.0,4.0,1.1931,504.9,4.0,14,swf,tips,cpm,450*300,直降
A672,617.93,4.0,4.0,1.223,540.66,2.9999999999999996,4,swf,tips,cpm,450*300,直降
A673,2774.65,5.0,40.0,1.4392,218.48,5.0,11,swf,tips,cpm,450*300,直降
A674,865.18,83.0,474.0,4.8006,406.2,108.0,19,swf,tips,cpm,450*300,直降
A675,1688.73,14.0,30.0,1.7099,231.09,5.999999999999999,15,swf,tips,cpm,450*300,直降
A676,4701.77,1.0,22.0,1.4726,402.4,1.0,17,swf,tips,cpm,450*300,直降
A677,3005.82,2.9999999999999996,18.0,1.2415,466.74,2.9999999999999996,16,swf,tips,cpm,450*300,直降
A678,73.63,11.0,32.0,1.2954,183.13,5.0,15,swf,tips,cpm,450*300,直降
A679,693.89,13.0,36.0,1.5914,232.55,11.0,16,swf,tips,cpc,450*300,直降
A680,1945.05,2.0,19.0,1.348,619.79,2.9999999999999996,9,swf,tips,cpc,450*300,直降
A681,146.68,11.0,21.0,1.7829,290.85,13.0,26,swf,tips,cpc,450*300,直降
A682,4001.49,0.0,2.0,1.3918,432.26,1.0,9,swf,tips,cpc,450*300,直降
A683,583.85,82.0,941.0,4.1954,392.9,106.0,28,swf,tips,cpc,450*300,直降
A684,1643.32,0.0,2.9999999999999996,1.0218,575.75,0.0,23,swf,tips,cpc,450*300,直降
A686,6087.03,0.0,4.0,1.5439,764.75,0.0,11,swf,tips,cpc,450*300,满减
A687,3.44,0.0,0.0,1.0287,486.22,0.0,22,swf,tips,cpc,450*300,直降
A688,1.61,0.0,0.0,1.0121,298.53,0.0,17,swf,tips,cpc,450*300,直降
A861,66.02,0.0,36.0,2.9038,296.99,1.0,30,jpg,tips,roi,450*300,秒杀
A1,0.77,0.0,127.0,1.9494,340.73,0.0,4,swf,不确定,cpc,600*90,打折
A10,1098.3,8.0,60.0,1.9497,448.69,7.0,25,swf,不确定,cpc,600*90,打折
A100,307.46,153.0,1413.0,7.2082,523.27,308.0,17,swf,不确定,cpm,600*90,打折
A101,14.22,0.0,0.0,1.0152,232.24,0.0,13,swf,不确定,cpm,600*90,打折
A102,2.55,0.0,76.0,1.4981,510.51,9.0,14,swf,不确定,cpm,600*90,打折
A103,175.02,98.0,1084.0,5.5044,495.25,137.0,21,swf,不确定,cpm,600*90,打折
A104,15.04,36.0,263.0,5.0156,414.17,108.0,2,swf,不确定,cpm,600*90,打折
A105,9320.06,17.0,61.00000000000001,1.941,518.54,18.0,18,swf,不确定,cpm,600*90,打折
A106,6.18,0.0,16.0,1.0208,328.79,0.0,4,swf,不确定,cpm,600*90,打折
A107,1.51,0.0,0.0,1.0065,570.42,0.0,24,swf,不确定,cpm,600*90,打折
A11,493.45,1.0,43.0,1.3230000000000002,368.06,0.0,16,swf,不确定,cpm,600*90,打折
A114,1816.29,5.999999999999999,5.999999999999999,1.2919999999999998,526.88,5.999999999999999,17,swf,不确定,cpm,600*90,打折
A115,2266.65,13.0,127.0,1.6095,496.31,14.0,17,swf,不确定,cpm,600*90,打折
A12,122.04,33.0,170.0,2.7937,365.16,32.0,19,swf,不确定,cpc,600*90,打折
A13,0.64,0.0,3300.0,5.71,666.3,112.0,7,swf,不确定,cpc,600*90,打折
A137,513.1,66.0,474.0,2.6251,329.86,53.0,6,swf,不确定,roi,600*90,打折
A138,1.78,0.0,576.0,3.2446,569.2,147.0,30,swf,不确定,roi,600*90,打折
A139,1101.34,0.0,14.0,1.6067,68.78,1.0,19,swf,不确定,roi,600*90,打折
A14,1.36,0.0,2271.0,4.9345,628.01,105.0,18,swf,不确定,cpc,600*90,打折
A140,198.7,0.0,9.0,1.6886,65.93,1.0,26,swf,不确定,roi,600*90,打折
A141,978.37,0.0,17.0,1.4973,69.2,1.0,27,swf,不确定,roi,600*90,打折
A142,361.36,0.0,26.0,1.5839,83.78,1.0,4,swf,不确定,roi,600*90,打折
A143,752.21,0.0,17.0,1.4797,121.38,1.0,7,swf,不确定,roi,600*90,打折
A144,658.32,0.0,15.0,1.5743,76.48,4.0,24,swf,不确定,roi,600*90,打折
A145,404.01,0.0,11.999999999999998,1.5393,71.57,1.0,19,swf,不确定,roi,600*90,打折
A146,1119.39,0.0,8.0,1.5275,65.7,1.0,27,swf,不确定,roi,600*90,打折
A147,354.75,0.0,5.0,1.5221,69.01,1.0,27,swf,不确定,roi,600*90,打折
A148,417.31,2.0,20.0,1.5091,111.28,1.0,21,swf,不确定,roi,600*90,打折
A149,1260.56,2.9999999999999996,2.0,1.6028,81.25,2.0,25,swf,不确定,roi,600*90,打折
A15,2.25,0.0,2690.0,4.5761,465.62,190.0,8,swf,不确定,cpc,600*90,打折
A150,1107.49,0.0,14.0,1.4979,75.65,0.0,27,swf,不确定,roi,600*90,打折
A151,733.3,1.0,13.0,1.5459,61.81,1.0,18,swf,不确定,roi,600*90,打折
A152,1240.76,0.0,11.0,1.5285,61.21,1.0,9,swf,不确定,roi,600*90,打折
A153,754.35,1.0,7.0,1.5224,67.74,2.0,30,swf,不确定,roi,600*90,打折
A154,416.05,0.0,0.0,1.6777,72.81,1.0,16,swf,不确定,roi,600*90,打折
A16,136.83,36.0,136.0,2.6497,367.05,36.0,9,swf,不确定,cpc,600*90,打折
A17,4.94,18.0,231.99999999999997,3.4393,458.02,82.0,25,swf,不确定,cpc,600*90,打折
A172,0.77,0.0,0.0,1.2308,157.7,0.0,19,swf,不确定,cpc,600*90,打折
A173,5303.27,11.999999999999998,32.0,2.1992,281.56,14.0,14,swf,不确定,cpc,600*90,打折
A174,8900.04,0.0,11.0,1.9078,228.05,0.0,29,swf,不确定,cpc,600*90,打折
A175,1.9,0.0,0.0,1.2421,145.44,0.0,3,swf,不确定,cpc,600*90,打折
A176,1.26,0.0,0.0,1.2143,135.27,0.0,28,swf,不确定,cpc,600*90,打折
A178,24.49,34.0,467.0,2.7989,439.09,52.0,9,swf,不确定,cpc,600*90,打折
A179,1887.63,17.0,44.0,2.4998,310.83,25.0,4,swf,不确定,cpc,600*90,打折
A18,304.07,28.999999999999996,141.0,2.7393,369.61,28.0,14,swf,不确定,cpc,600*90,打折
A180,5360.48,0.0,11.999999999999998,2.0176,240.31,0.0,27,swf,不确定,cpc,600*90,打折
A181,0.89,0.0,0.0,1.3708,146.37,0.0,4,swf,不确定,cpc,600*90,打折
A182,0.75,0.0,0.0,1.2533,157.81,0.0,5,swf,不确定,cpc,600*90,打折
A19,0.8,0.0,230.0,1.7586,185.38,0.0,11,swf,不确定,cpc,600*90,打折
A190,64.67,97.0,685.0,2.9173,402.44,112.99999999999999,6,swf,不确定,roi,600*90,打折
A2,1.02,73.0,3869.0,4.2336,487.93,23.0,20,swf,不确定,cpc,600*90,打折
A20,0.07,79.00000000000001,0.0,2.1587,813.25,680.0,1,swf,不确定,cpc,600*90,打折
A284,170.08,0.0,1.0,1.23,212.62,0.0,24,swf,不确定,roi,600*90,打折
A285,769.74,0.0,0.0,1.3363,253.83,0.0,10,swf,不确定,roi,600*90,打折
A286,144.52,0.0,1.0,2.0592,136.31,2.0,8,swf,不确定,roi,600*90,打折
A287,102.3,0.0,2.0,1.5622,180.64,0.0,11,swf,不确定,roi,600*90,打折
A288,280.38,0.0,1.0,1.3405,235.54,1.0,29,swf,不确定,roi,600*90,打折
A289,589.44,0.0,1.0,1.4317,272.17,0.0,24,swf,不确定,roi,600*90,打折
A290,1135.49,0.0,0.0,1.3572,120.8,0.0,18,swf,不确定,roi,600*90,打折
A291,214.62,1.0,4.0,1.5784,133.23,1.0,3,swf,不确定,roi,600*90,打折
A292,523.69,0.0,1.0,1.2794,124.51,0.0,30,swf,不确定,roi,600*90,打折
A293,283.28,1.0,1.0,1.2761,92.92,0.0,18,swf,不确定,roi,600*90,打折
A294,145.6,0.0,0.0,1.005,74.21,0.0,1,swf,不确定,roi,600*90,打折
A295,7046.57,17.0,88.0,1.7672,221.22,80.0,5,swf,不确定,cpd,600*90,打折
A296,2.27,0.0,0.0,1.6053,160.45,84.0,2,swf,不确定,cpd,600*90,打折
A297,1715.52,0.0,0.0,1.8602,221.3,0.0,17,swf,不确定,roi,600*90,打折
A298,238.67,0.0,0.0,1.4299,205.27,0.0,9,swf,不确定,roi,600*90,打折
A299,269.08,0.0,1.0,1.3947,197.62,1.0,18,swf,不确定,roi,600*90,打折
A3,305.5,104.0,230.0,5.082,410.24,117.0,9,swf,不确定,cpc,600*90,打折
A300,251.06,0.0,0.0,1.382,213.38,0.0,15,swf,不确定,roi,600*90,打折
A301,338.98,5.0,14.0,1.4833,332.64,2.9999999999999996,13,swf,不确定,roi,600*90,打折
